# Neighbor 1 Type    Neighbor 2 Type      Neighbor 3 Type      Real Type
Iris-virginica       Iris-virginica       Iris-virginica       Iris-virginica      
Iris-setosa          Iris-setosa          Iris-setosa          Iris-setosa         
Iris-versicolor      Iris-versicolor      Iris-versicolor      Iris-versicolor     
Iris-versicolor      Iris-versicolor      Iris-versicolor      Iris-versicolor     
Iris-versicolor      Iris-versicolor      Iris-versicolor      Iris-versicolor     
Iris-setosa          Iris-setosa          Iris-setosa          Iris-setosa         
Iris-setosa          Iris-setosa          Iris-setosa          Iris-setosa         
Iris-versicolor      Iris-versicolor      Iris-versicolor      Iris-versicolor     
Iris-virginica       Iris-virginica       Iris-virginica       Iris-virginica      
Iris-setosa          Iris-setosa          Iris-setosa          Iris-setosa         
